timestamp,open,high,low,close
2023-07-07 23:00:00,103.093,103.183,102.382,102.42
2023-07-08 07:00:00,102.42,102.46,102.226,102.266
2023-07-10 07:00:00,102.288,102.391,102.266,102.351
2023-07-10 15:00:00,102.351,102.525,102.308,102.33
2023-07-10 23:00:00,102.329,102.564,102.057,102.07
2023-07-11 07:00:00,102.07,102.08,101.95,101.953
2023-07-11 15:00:00,101.941,101.964,101.676,101.694
2023-07-11 23:00:00,101.696,101.97,101.666,101.853
2023-07-12 07:00:00,101.854,101.885,101.651,101.656
2023-07-12 15:00:00,101.594,101.609,101.342,101.463
2023-07-12 23:00:00,101.463,101.534,100.591,100.602
2023-07-13 07:00:00,100.604,100.697,100.511,100.557
2023-07-13 15:00:00,100.521,100.61,100.406,100.407
2023-07-13 23:00:00,100.409,100.507,99.941,99.941
2023-07-14 07:00:00,99.94,100.028,99.741,99.756
2023-07-14 15:00:00,99.75,99.966,99.578,99.934
2023-07-14 23:00:00,99.935,100.015,99.667,99.793
2023-07-15 07:00:00,99.792,99.996,99.777,99.96
2023-07-17 07:00:00,99.96,99.99,99.923,99.938
2023-07-17 15:00:00,99.937,100.027,99.753,99.845
2023-07-17 23:00:00,99.843,100.181,99.786,99.917
2023-07-18 07:00:00,99.917,99.931,99.823,99.883
2023-07-18 15:00:00,99.889,99.941,99.676,99.733
2023-07-18 23:00:00,99.733,100.034,99.589,99.848
2023-07-19 07:00:00,99.848,100.105,99.782,99.923
2023-07-19 15:00:00,99.979,100.303,99.925,100.158
2023-07-19 23:00:00,100.157,100.535,100.04,100.394
2023-07-20 07:00:00,100.393,100.457,100.265,100.285
2023-07-20 15:00:00,100.276,100.276,100.018,100.223
2023-07-20 23:00:00,100.223,100.834,100.14,100.764
2023-07-21 07:00:00,100.765,100.969,100.732,100.792
2023-07-21 15:00:00,100.781,100.827,100.723,100.742
2023-07-21 23:00:00,100.743,101.188,100.732,101.15
2023-07-22 07:00:00,101.149,101.151,101.023,101.085
2023-07-24 07:00:00,101.085,101.11,101.015,101.041
2023-07-24 15:00:00,101.041,101.41,100.889,101.375
2023-07-24 23:00:00,101.375,101.381,101.046,101.246
2023-07-25 07:00:00,101.249,101.425,101.221,101.382
2023-07-25 15:00:00,101.423,101.426,101.204,101.238
2023-07-25 23:00:00,101.238,101.648,101.186,101.422
2023-07-26 07:00:00,101.421,101.444,101.253,101.273
2023-07-26 15:00:00,101.321,101.437,101.141,101.205
2023-07-26 23:00:00,101.205,101.269,101.055,101.215
2023-07-27 07:00:00,101.215,101.309,100.863,101.026
2023-07-27 15:00:00,101.105,101.109,100.689,100.885
2023-07-27 23:00:00,100.884,101.84,100.551,101.779
2023-07-28 07:00:00,101.778,101.818,101.489,101.695
2023-07-28 15:00:00,101.687,101.894,101.648,101.809
2023-07-28 23:00:00,101.809,102.042,101.357,101.462
2023-07-29 07:00:00,101.462,101.709,101.46,101.701
2023-07-31 07:00:00,101.701,101.701,101.582,101.628
2023-07-31 15:00:00,101.628,101.851,101.614,101.698
2023-07-31 23:00:00,101.702,101.823,101.531,101.756
2023-08-01 07:00:00,101.756,101.905,101.716,101.862
2023-08-01 15:00:00,101.873,102.062,101.851,101.966
2023-08-01 23:00:00,101.966,102.433,101.966,102.256
2023-08-02 07:00:00,102.257,102.407,101.942,101.96
2023-08-02 15:00:00,101.961,102.261,101.959,102.132
2023-08-02 23:00:00,102.132,102.779,102.101,102.726
2023-08-03 07:00:00,102.725,102.758,102.458,102.596
2023-08-03 15:00:00,102.586,102.82,102.52,102.793
2023-08-03 23:00:00,102.794,102.843,102.46,102.593
2023-08-04 07:00:00,102.593,102.596,102.365,102.468
2023-08-04 15:00:00,102.454,102.511,102.363,102.498
2023-08-04 23:00:00,102.499,102.619,101.817,101.907
2023-08-05 07:00:00,101.906,102.058,101.742,102.009
2023-08-07 07:00:00,102.009,102.071,101.967,101.974
2023-08-07 15:00:00,101.974,102.335,101.974,102.303
2023-08-07 23:00:00,102.303,102.384,101.968,102.108
2023-08-08 07:00:00,102.106,102.14,102.023,102.077
2023-08-08 15:00:00,102.067,102.374,102.065,102.222
2023-08-08 23:00:00,102.221,102.796,102.217,102.647
2023-08-09 07:00:00,102.647,102.691,102.503,102.543
2023-08-09 15:00:00,102.549,102.565,102.325,102.371
2023-08-09 23:00:00,102.373,102.581,102.294,102.447
2023-08-10 07:00:00,102.447,102.519,102.364,102.477
2023-08-10 15:00:00,102.481,102.558,102.35,102.379
2023-08-10 23:00:00,102.379,102.386,101.784,102.252
2023-08-11 07:00:00,102.253,102.654,102.248,102.625
2023-08-11 15:00:00,102.617,102.661,102.453,102.549
2023-08-11 23:00:00,102.549,102.834,102.419,102.66
2023-08-12 07:00:00,102.66,102.91,102.635,102.853
2023-08-14 07:00:00,102.853,102.972,102.83,102.948
2023-08-14 15:00:00,102.947,103.022,102.771,102.874
2023-08-14 23:00:00,102.874,103.458,102.806,102.977
2023-08-15 07:00:00,102.979,103.198,102.961,103.168
2023-08-15 15:00:00,103.15,103.204,103.026,103.049
2023-08-15 23:00:00,103.051,103.274,102.817,102.875
2023-08-16 07:00:00,102.875,103.253,102.858,103.205
